x, y,x, y
218.3908046,0.004491018,216.6476625,0.024396419
1057.471264,0.017065868,1060.433295,0.170774936
1873.563218,0.028293413,1881.413911,0.487928389
2701.149425,0.038622754,2679.58951,0.902667519
3528.735632,0.048502994,3489.167617,1.488181586
4390.804598,0.05748503,4310.148233,2.17128133
5229.885057,0.066017964,5131.128848,2.976363171
6057.471264,0.074101796,5963.511973,3.90342711
6908.045977,0.082185629,6784.492588,4.879283887
7735.632184,0.089371257,7594.070696,5.928329923
8563.218391,0.096556886,8415.051311,7.123754476
9379.310345,0.10239521,9236.031927,8.319179028
10000,0.107784431,9988.597491,9.514603581
